RPM,Vibration,Pressure,Humidity,Voltage,Current,Load,Operating_Hours,Machine_Mode,Maintenance_Level,Shift_Type,Temperature,Defective
1179,0.64,59.46,75.91,228.21,47.6,37.66,4587,Standard,Poor,Night,58.03,1
1292,0.55,72.99,59.12,246.34,22.89,94.47,8216,Standard,Good,Evening,53.59,0
2862,2.33,36.14,38.96,214.18,14.77,38.53,6847,Eco,Good,Evening,43.92,0
4684,2.17,77.2,68.9,238.81,21.81,68.89,6166,High-Speed,Poor,Evening,83.43,1
864,2.05,100.54,40.34,237.49,19.98,17.2,4594,High-Speed,Average,Morning,59.87,1
3368,7.26,96.02,82.34,213.83,12.93,31.81,3672,High-Speed,Average,Evening,80.27,1
2827,2.07,35.39,66.79,246.9,32.33,79.63,7869,Standard,Average,Evening,56.14,1
3495,2.25,34.92,39.43,232.74,26.45,57.58,2411,Standard,Poor,Evening,63.03,1
2295,6.1,46.82,87.74,224.55,43.96,93.52,6873,High-Speed,Average,Morning,76.52,1
1191,3.65,56.11,61.1,240.26,6.44,48.59,7005,Standard,Average,Night,58.45,1
4361,6.24,60.85,34.37,220.29,33.97,88.28,3742,High-Speed,Average,Night,84.56,1
3078,0.62,87.97,67.61,237.74,39.33,50.41,6438,Eco,Good,Morning,50.0,1
3899,3.95,25.67,45.19,211.59,39.18,98.13,2709,Eco,Good,Evening,54.33,0
1000,0.37,23.47,78.22,243.58,44.87,96.39,9722,High-Speed,Poor,Night,59.15,1
3904,0.59,59.19,79.07,227.93,37.81,39.62,6340,High-Speed,Average,Morning,67.68,1
3254,7.26,89.72,88.74,235.47,46.75,89.73,7906,High-Speed,Good,Evening,88.4,1
4445,1.2,39.34,60.11,218.85,19.97,86.29,857,High-Speed,Poor,Evening,77.36,1
1604,4.31,84.15,57.3,237.08,27.64,28.96,5186,Eco,Good,Evening,47.54,1
3531,3.35,45.98,75.21,240.89,5.63,66.19,6320,Eco,Good,Night,54.43,0
3573,2.84,108.61,37.95,228.93,5.31,16.54,5702,High-Speed,Good,Morning,65.89,1
2370,7.21,109.57,62.81,234.71,15.81,85.3,9426,Eco,Average,Morning,72.89,1
3490,0.27,49.73,62.77,228.25,9.54,25.71,6221,Standard,Average,Morning,58.24,0
4640,5.34,43.0,35.37,245.76,16.71,16.37,9056,Standard,Good,Morning,61.6,1
1828,7.71,61.13,55.08,229.91,12.97,46.02,2825,Eco,Average,Evening,59.01,0
1302,4.53,44.05,81.2,243.67,6.28,61.92,3468,Standard,Poor,Evening,60.5,1
1670,7.5,87.24,81.37,242.05,45.92,86.94,3597,Standard,Average,Morning,70.85,1
1006,0.51,102.61,35.95,226.42,5.37,97.68,8274,High-Speed,Poor,Evening,69.52,1
2284,3.41,87.31,35.44,219.2,38.12,49.55,9964,Standard,Good,Evening,59.15,1
1663,2.16,102.44,45.76,226.24,11.85,15.44,5742,Standard,Average,Morning,55.83,1
3590,5.87,59.7,82.49,243.05,46.05,77.42,8874,Standard,Good,Evening,65.18,1
1363,7.85,35.63,37.73,219.11,45.18,60.87,4866,Standard,Good,Evening,56.07,1
4991,2.13,93.8,73.2,230.98,34.43,50.31,4733,Eco,Poor,Evening,69.39,1
2557,5.27,56.05,36.07,242.24,35.25,37.83,1921,Standard,Average,Morning,61.62,1
2478,1.66,87.13,67.39,224.14,5.24,55.22,1285,Eco,Good,Evening,46.92,0
4042,4.57,47.06,51.36,235.69,49.32,40.48,1737,Eco,Average,Night,60.17,1
1859,3.77,28.12,77.33,219.83,44.5,78.13,7336,Standard,Good,Evening,50.46,0
2522,7.78,119.26,44.02,214.37,45.28,58.95,8480,Standard,Good,Morning,72.6,1
4114,4.91,35.62,68.35,241.78,34.67,88.92,1846,Eco,Poor,Evening,66.51,1
3957,2.86,118.84,44.14,213.96,20.52,58.92,5897,Standard,Good,Morning,66.0,1
3425,1.0,117.73,72.82,220.86,45.21,31.44,8189,Standard,Poor,Evening,74.66,1
3529,1.29,99.38,82.42,244.2,18.12,86.6,2720,Eco,Poor,Morning,66.42,1
2397,1.88,85.94,37.61,223.86,30.32,60.15,7697,High-Speed,Good,Morning,62.33,1
3860,2.08,77.78,82.0,248.92,9.49,28.62,8102,Eco,Good,Evening,51.92,1
3493,6.82,106.61,65.61,249.19,46.49,66.12,6207,High-Speed,Average,Morning,86.82,1
4427,4.53,48.94,37.63,220.73,11.33,42.19,9476,Eco,Average,Evening,62.5,1
2163,4.23,66.77,55.65,211.64,15.12,86.0,2893,High-Speed,Average,Morning,70.76,1
2781,1.01,81.94,39.65,238.2,30.12,50.8,2600,Eco,Average,Morning,47.85,1
2463,6.9,61.12,72.02,228.04,39.38,75.38,8461,High-Speed,Average,Night,82.97,1
2329,5.81,62.75,75.53,214.03,32.87,18.6,5025,Standard,Average,Night,61.11,1
2838,0.63,53.03,36.35,238.3,15.45,45.64,1180,Standard,Average,Morning,50.9,0
4102,5.69,76.42,60.37,211.25,5.04,98.49,9555,Standard,Good,Evening,74.46,1
3037,4.39,105.06,78.88,244.81,39.07,82.76,4964,Eco,Average,Morning,63.01,1
2106,0.75,40.15,86.17,215.55,49.33,24.39,4553,High-Speed,Poor,Evening,63.28,0
4829,3.72,113.44,60.81,215.09,41.45,35.0,2348,Eco,Good,Evening,64.89,1
3475,3.93,88.91,87.02,217.03,25.71,39.68,1425,High-Speed,Good,Morning,69.34,1
2082,1.41,102.33,62.14,248.41,45.67,68.53,3973,Eco,Good,Evening,53.14,0
1509,7.57,75.62,53.65,237.73,23.44,78.13,1788,Standard,Poor,Morning,69.57,1
4548,6.81,97.95,80.89,242.05,28.62,77.46,3085,Standard,Poor,Morning,81.79,1
1463,5.39,21.62,59.58,225.91,26.47,55.89,2176,Standard,Average,Night,56.84,0
2798,3.75,101.84,58.31,223.45,25.14,82.97,9821,Eco,Average,Evening,65.97,1
4245,3.35,24.01,59.42,219.38,39.88,49.34,1561,High-Speed,Average,Evening,70.36,1
4543,5.24,108.99,80.81,229.23,28.7,21.15,9694,High-Speed,Average,Evening,89.6,1
2295,4.41,119.2,79.92,232.07,19.25,60.8,172,High-Speed,Poor,Evening,82.57,1
4104,0.59,49.41,54.21,235.27,16.62,95.71,6130,Standard,Average,Evening,67.18,1
4563,4.15,41.03,50.0,220.28,6.7,81.37,4711,Standard,Average,Morning,68.16,1
2653,6.47,96.54,59.52,247.95,31.24,62.08,2896,Standard,Average,Evening,74.91,1
2091,3.73,45.3,64.37,216.79,15.35,68.21,7817,Standard,Average,Evening,57.46,1
4381,0.51,106.56,44.3,248.63,11.67,93.75,4616,High-Speed,Average,Evening,77.42,1
4257,6.31,30.28,77.64,210.59,34.42,48.55,2593,Standard,Average,Evening,67.92,1
2436,1.69,32.6,59.19,229.25,35.65,39.83,4331,Standard,Average,Morning,51.11,0
4496,2.14,117.92,50.04,223.33,38.85,97.95,3676,Standard,Average,Evening,76.84,1
3799,1.4,87.38,36.41,227.96,27.66,87.71,8200,Standard,Poor,Morning,71.84,1
3952,2.71,104.69,44.33,232.83,45.23,39.07,5828,High-Speed,Average,Evening,79.03,1
1498,6.08,52.43,86.96,227.42,47.14,51.74,132,Standard,Good,Evening,59.33,1
2960,4.2,87.65,48.31,226.59,41.33,47.36,4473,Standard,Average,Night,65.93,1
4897,1.72,79.42,40.13,239.31,33.6,23.42,3698,High-Speed,Poor,Evening,76.01,1
1654,7.03,80.32,57.64,237.44,18.67,96.2,2492,Standard,Good,Night,60.32,1
4274,7.05,88.25,48.43,243.33,49.23,46.39,6805,Eco,Average,Evening,71.85,1
2507,6.98,77.54,32.11,220.0,17.34,88.78,6890,Eco,Poor,Night,71.18,1
3577,1.99,62.91,49.39,234.38,14.12,27.04,2777,Eco,Average,Evening,52.37,1
2533,3.66,47.59,62.65,233.41,24.9,59.31,1501,Standard,Good,Night,53.72,0
4310,7.88,96.86,63.1,224.79,7.56,12.16,917,High-Speed,Average,Morning,81.82,1
1002,6.2,42.63,51.39,229.44,49.03,78.78,6303,Standard,Average,Morning,59.19,1
4055,0.31,89.24,56.84,222.55,31.48,62.28,9952,Standard,Average,Evening,65.28,1
1566,0.62,43.33,87.93,215.67,30.06,66.3,4662,High-Speed,Poor,Night,66.03,1
3127,3.77,82.53,52.64,218.55,34.51,14.65,4823,High-Speed,Average,Evening,70.32,1
3731,7.28,94.71,45.49,214.22,27.37,28.99,2538,Standard,Good,Morning,69.79,1
997,4.36,41.87,44.61,237.32,6.44,16.69,6928,Standard,Average,Evening,49.67,0
2730,4.03,25.99,57.47,236.43,32.55,36.0,1310,Eco,Poor,Evening,54.54,1
4382,0.93,33.1,75.57,248.02,37.23,66.47,6741,Eco,Poor,Morning,61.54,1
1408,5.29,80.6,42.36,239.19,23.75,60.96,699,Eco,Average,Evening,51.6,0
4072,6.59,104.94,72.56,212.08,39.08,65.09,5580,Standard,Good,Night,79.57,1
1947,3.11,24.5,31.27,245.37,15.22,59.43,1946,Standard,Average,Night,55.09,0
4197,6.23,93.42,55.14,244.51,14.96,34.57,6692,Eco,Average,Morning,66.95,1
3311,7.72,54.13,76.55,227.73,12.26,32.01,7961,Eco,Poor,Morning,65.36,1
2594,1.71,67.85,50.32,233.43,21.74,22.34,1987,Eco,Average,Morning,46.77,0
1459,4.23,112.89,63.82,249.04,43.12,86.42,779,Standard,Poor,Morning,66.83,1
3611,2.37,53.2,42.3,231.29,42.26,65.48,3352,Standard,Good,Morning,53.75,1
2169,6.36,66.53,74.52,246.21,22.23,26.79,1935,Standard,Average,Night,61.52,0
2786,4.66,21.37,33.14,213.32,31.51,25.95,2277,Standard,Good,Morning,44.45,0
946,5.11,28.16,81.15,217.64,37.44,88.57,8242,Standard,Good,Night,54.87,1
4019,6.4,45.86,41.89,227.63,15.85,76.85,248,Eco,Good,Night,61.26,1
3711,3.23,22.79,82.46,233.39,12.57,69.35,1595,Eco,Average,Morning,57.21,1
2534,7.33,83.14,51.15,242.65,48.74,46.62,1844,High-Speed,Poor,Night,86.02,1
2643,4.31,62.64,73.36,249.53,32.79,33.58,1746,High-Speed,Good,Evening,62.76,0
1288,1.35,74.81,49.15,225.55,49.16,98.15,3095,Standard,Good,Evening,52.27,0
3776,5.6,37.46,84.35,211.9,20.2,81.75,6743,High-Speed,Good,Morning,74.19,1
2759,6.37,49.59,37.6,242.05,36.64,37.16,9964,Standard,Poor,Evening,68.84,1
3185,2.6,86.38,40.71,234.18,15.02,86.28,7478,Eco,Average,Morning,61.4,1
3719,6.87,116.53,59.58,217.94,16.75,78.3,8949,High-Speed,Good,Evening,82.75,1
2602,7.26,25.04,34.92,229.79,28.04,36.74,3767,Eco,Poor,Morning,59.36,1
4861,2.29,109.04,41.76,239.69,19.38,48.39,9345,Standard,Average,Evening,73.91,1
4169,7.87,77.69,86.63,240.82,12.54,26.74,676,Standard,Average,Morning,72.16,1
1062,1.21,76.39,88.59,229.98,16.83,19.99,4879,Standard,Poor,Morning,55.46,1
1423,1.7,70.03,52.58,222.21,6.61,75.05,8287,Standard,Average,Evening,53.89,1
1816,1.56,26.94,85.4,248.95,36.7,34.08,3072,Standard,Average,Evening,49.95,0
4443,7.16,28.99,62.69,236.53,27.15,83.81,7856,Standard,Poor,Evening,82.28,1
2849,5.27,80.09,46.18,226.33,9.24,99.6,4048,Standard,Average,Morning,69.24,1
4523,1.3,54.1,72.14,221.22,12.73,16.9,6644,Standard,Average,Night,61.6,1
3908,3.58,111.73,69.53,239.24,9.61,52.57,2145,High-Speed,Average,Evening,79.69,1
4890,4.96,60.66,89.35,219.69,32.57,82.19,1727,High-Speed,Good,Morning,82.36,1
2856,0.76,34.33,45.9,216.87,9.24,81.01,1588,Standard,Average,Evening,53.88,1
3970,7.07,91.47,70.32,231.19,38.94,78.4,9227,Eco,Average,Evening,77.66,1
2482,6.45,49.34,33.12,221.6,5.92,41.41,3663,High-Speed,Good,Morning,63.23,1
3055,4.09,72.55,36.82,235.16,16.22,50.85,1902,Eco,Good,Evening,53.56,0
1954,7.74,89.78,30.24,214.72,45.08,63.55,9712,Eco,Poor,Night,72.97,1
3991,3.4,110.03,89.97,236.2,37.33,97.65,3691,Standard,Average,Evening,75.11,1
2496,7.87,99.22,78.14,221.33,8.28,39.48,3620,High-Speed,Average,Morning,78.89,1
4791,5.38,87.64,77.2,210.01,41.95,93.08,5996,Eco,Average,Night,76.0,1
2448,5.11,87.96,60.58,215.08,27.19,34.24,7743,Eco,Good,Morning,54.43,1
2245,1.41,114.59,48.0,247.34,43.11,99.02,7141,Standard,Good,Night,68.18,1
4999,7.07,49.58,39.08,244.69,32.03,70.32,3411,Standard,Good,Morning,70.27,1
4723,3.48,20.11,47.08,219.34,35.68,51.72,2405,Standard,Average,Evening,62.14,1
1053,1.38,47.2,52.56,241.13,49.71,65.21,7975,Standard,Average,Evening,53.01,0
3983,0.2,41.79,75.38,234.34,15.46,34.53,2067,Standard,Good,Morning,48.77,0
3357,4.52,86.18,62.38,248.84,33.08,34.68,8109,Eco,Average,Night,66.19,1
898,4.27,83.37,34.65,224.94,25.71,20.22,5562,Eco,Average,Evening,47.8,0
3000,5.78,79.35,31.08,237.26,6.78,20.26,6997,High-Speed,Good,Morning,68.54,1
3761,7.13,21.62,36.14,212.54,5.65,41.29,3558,High-Speed,Average,Evening,72.52,1
4577,0.73,92.88,54.63,225.85,10.37,78.66,8685,Eco,Average,Evening,62.92,1
3669,5.88,52.35,85.99,248.55,34.21,64.72,4878,Eco,Good,Morning,60.53,1
4034,1.58,86.51,68.24,231.56,30.52,19.23,3830,Eco,Poor,Night,68.8,1
4591,6.88,75.66,78.11,221.52,29.9,86.7,4465,Standard,Poor,Night,84.65,1
1756,6.57,54.27,57.98,214.81,6.43,64.12,7647,Standard,Average,Morning,63.43,0
4867,4.37,33.46,51.7,238.14,26.12,96.48,127,Standard,Average,Evening,71.06,1
960,5.71,29.44,36.5,235.79,46.61,70.32,3591,Standard,Poor,Morning,60.05,1
2100,2.58,103.15,82.56,224.96,22.89,25.77,6523,Standard,Average,Night,65.09,1
4787,3.82,111.84,76.99,248.04,33.12,52.64,5401,High-Speed,Average,Night,87.02,1
2327,6.59,84.98,40.09,210.89,40.09,68.36,6260,Eco,Good,Morning,59.63,1
2018,3.73,30.34,60.74,222.15,40.28,12.54,1273,Eco,Average,Night,49.25,0
3904,2.93,60.2,59.24,246.84,28.37,11.34,438,Eco,Good,Evening,48.92,1
3535,4.0,92.89,67.51,222.84,43.61,21.65,9360,High-Speed,Average,Morning,77.59,1
1754,6.64,97.98,86.77,220.09,22.61,32.65,941,High-Speed,Average,Night,74.85,1
4246,2.75,31.82,64.79,231.37,44.99,48.66,393,Standard,Average,Evening,66.07,1
1845,1.47,20.0,62.41,242.95,15.81,53.87,9614,Eco,Poor,Evening,48.42,0
2493,5.72,91.21,33.02,214.13,17.61,22.42,6658,Standard,Good,Evening,57.41,0
4236,6.63,55.66,33.77,247.72,7.39,70.61,1747,Standard,Average,Morning,72.43,1
1362,0.9,45.45,41.24,241.8,40.8,63.65,4998,Standard,Poor,Morning,52.31,0
3285,2.0,21.29,31.95,217.25,23.77,36.5,4626,Standard,Average,Night,53.56,1
4154,1.22,74.03,74.6,238.48,15.31,11.23,5714,Eco,Average,Evening,57.24,1
1025,2.85,105.12,73.4,225.4,15.43,16.99,3901,Standard,Average,Night,60.17,1
1759,3.66,115.76,38.16,226.09,45.56,45.25,8380,Standard,Poor,Morning,70.0,1
3867,6.02,76.57,80.16,241.33,42.53,23.86,7476,Standard,Poor,Evening,75.46,1
1615,5.24,71.45,39.29,248.51,29.91,43.91,999,Eco,Average,Night,56.51,1
3920,5.01,28.51,48.07,215.07,32.72,66.54,3577,High-Speed,Average,Morning,72.35,1
816,2.88,74.89,44.94,226.83,26.34,59.25,1844,Standard,Average,Morning,55.98,1
2043,6.75,58.0,52.34,229.24,22.62,30.81,6196,High-Speed,Poor,Evening,73.66,1
3005,3.82,80.71,45.28,225.05,46.2,40.94,2353,Standard,Average,Morning,63.89,1
3324,7.83,58.87,59.34,224.53,10.65,65.26,1733,High-Speed,Good,Morning,72.95,1
1869,5.11,44.03,54.44,212.09,23.83,87.48,7101,High-Speed,Good,Night,64.83,1
4244,1.1,29.5,89.19,237.42,20.51,77.79,7120,Standard,Good,Night,59.38,0
3365,5.44,51.49,33.36,227.45,27.42,59.81,9153,High-Speed,Poor,Evening,79.25,1
1860,2.67,29.66,38.53,217.79,25.59,42.61,8249,Standard,Good,Night,52.13,0
3127,5.52,37.69,33.17,242.64,28.35,42.85,4801,Standard,Average,Night,64.92,1
4220,0.65,118.73,67.55,242.1,11.3,89.15,6835,Eco,Good,Evening,61.43,1
1101,1.48,64.41,33.27,229.46,28.09,13.53,1113,Standard,Average,Morning,45.61,0
1406,6.86,73.19,80.19,221.94,15.91,98.92,3399,Standard,Average,Morning,65.91,1
3970,1.89,107.36,60.72,235.52,13.29,69.79,1606,High-Speed,Average,Morning,75.77,1
1499,6.71,119.56,61.62,221.53,7.92,71.3,4903,Eco,Average,Morning,65.77,1
1939,2.31,78.27,63.7,219.44,39.32,13.42,1077,Standard,Good,Morning,50.93,0
990,5.18,101.25,40.25,239.22,24.23,64.5,1917,Eco,Good,Morning,48.85,0
3100,5.58,52.69,41.86,211.61,33.2,53.63,5001,Standard,Good,Morning,61.94,1
1780,4.15,50.57,49.13,213.79,37.74,19.52,9240,Eco,Average,Morning,52.23,1
3775,2.51,60.27,65.61,210.27,35.57,35.01,6898,High-Speed,Average,Evening,71.72,1
1984,1.78,87.25,42.61,216.12,26.17,90.13,573,Eco,Poor,Morning,54.89,1
4127,0.36,88.22,36.98,212.76,22.46,59.5,667,Standard,Good,Night,60.58,1
4194,2.5,51.52,88.21,249.83,21.92,47.21,8066,High-Speed,Average,Morning,71.91,1
927,5.26,33.32,31.32,221.55,33.8,16.54,2358,Standard,Good,Night,48.28,0
2865,7.51,83.24,78.16,215.97,27.27,74.27,8220,Eco,Average,Night,73.65,1
2616,6.98,32.83,77.28,219.64,43.21,73.26,4410,Standard,Average,Evening,69.7,1
1369,6.15,77.85,47.83,247.45,44.36,65.26,2082,Eco,Good,Evening,51.71,0
2695,6.33,89.34,38.14,230.81,12.68,55.92,1196,High-Speed,Poor,Night,85.91,1
3533,5.35,90.06,38.74,224.59,11.13,49.04,6710,Standard,Average,Morning,71.13,1
4663,2.16,95.35,71.85,244.94,33.37,63.39,3670,Standard,Poor,Night,79.74,1
4814,7.27,107.29,68.57,225.8,18.56,31.01,6597,Standard,Good,Night,81.68,1
3701,5.4,70.0,76.96,223.4,5.84,94.71,3746,Eco,Poor,Evening,71.92,1
2486,4.53,93.02,86.25,218.29,44.99,62.99,2519,High-Speed,Poor,Morning,81.41,1
3809,0.98,81.92,71.52,225.11,15.21,38.01,4379,High-Speed,Average,Evening,70.58,1
954,3.63,38.66,39.35,222.67,46.82,50.47,773,High-Speed,Average,Evening,60.93,1
3337,3.74,22.57,44.61,237.09,37.28,82.51,2902,Standard,Average,Evening,64.16,1
2209,6.93,48.45,80.53,221.58,39.32,24.55,7412,Standard,Poor,Evening,70.2,1
4857,4.42,64.3,42.56,233.09,14.07,36.36,2469,Eco,Good,Morning,54.85,1
1584,3.11,81.71,34.35,212.64,15.54,71.16,4630,Standard,Good,Morning,51.96,0
3975,7.82,105.0,72.2,217.65,28.46,38.39,1166,Standard,Average,Evening,80.21,1
3606,0.97,39.62,54.15,226.3,12.74,81.33,5532,Standard,Good,Morning,54.48,0
1337,3.44,32.55,85.2,247.48,18.74,21.74,8173,High-Speed,Average,Morning,58.22,0
2641,0.43,116.35,69.02,225.09,19.47,78.64,787,Eco,Average,Morning,58.08,0
3255,5.95,30.8,35.43,236.56,12.18,16.15,168,Eco,Average,Morning,50.35,1
1324,7.35,67.85,86.87,220.2,14.23,11.13,6874,Eco,Average,Evening,57.65,1
3750,2.31,78.56,45.51,215.08,40.48,90.84,519,Eco,Average,Morning,62.55,1
4931,6.88,74.14,50.23,212.34,12.52,62.32,6991,Eco,Average,Night,75.52,1
4915,2.41,28.6,54.14,222.22,6.28,41.66,5693,Standard,Good,Night,59.11,1
3168,7.3,25.7,33.07,216.31,33.32,30.93,6204,Standard,Average,Evening,64.69,1
4647,6.06,30.55,59.79,216.96,48.92,65.52,3992,Eco,Average,Morning,65.78,1
3501,6.46,78.56,37.4,240.43,19.9,55.81,539,High-Speed,Poor,Evening,81.35,1
1771,0.24,74.43,54.06,210.63,10.34,99.24,9578,Eco,Average,Evening,56.08,1
1966,7.71,43.37,51.04,232.31,30.67,98.49,1308,Standard,Average,Night,65.42,1
3574,5.84,83.78,76.37,225.18,45.79,67.15,9370,Standard,Average,Evening,72.95,1
2782,2.51,102.01,78.19,230.26,40.28,49.86,2663,Standard,Good,Evening,62.0,1
1653,6.65,24.16,39.2,232.51,33.01,54.2,7566,High-Speed,Good,Night,61.8,1
4946,2.32,69.81,51.99,222.53,19.18,71.42,1353,Eco,Average,Morning,59.16,1
4536,6.99,88.93,52.4,221.8,29.38,19.14,3309,Standard,Average,Morning,76.28,1
4569,0.99,45.23,39.08,239.34,9.11,39.55,3649,High-Speed,Good,Evening,64.98,1
