Subject_ID,Gender,Age_Group,Ethnicity,Face_Length_mm,Face_Width_mm,Interpupillary_Distance_mm,Eye_Width_mm,Nose_Length_mm,Nose_Width_mm,Lip_Fullness_Ratio,Jawline_Angle_Degrees,Face_Shape,Eye_Shape,Eye_Color,Skin_Tone_Type
SUBJ_014,Male,26-35,East Asian,163.9,140.4,70.3,29.2,50.8,36.6,0.71,118.8,Heart,Upturned,Brown,Medium
SUBJ_015,Male,46-60,Middle Eastern,176.1,141.9,65.9,28.8,59.8,38.0,0.69,120.4,Diamond,Upturned,Blue,Light
SUBJ_016,Male,26-35,East Asian,160.1,127.8,68.0,27.7,53.9,36.0,0.61,126.0,Oval,Almond,Brown,Deep
SUBJ_017,Male,26-35,East Asian,200.7,125.1,66.3,30.1,51.0,36.5,0.55,116.6,Diamond,Round,Hazel,Fair
SUBJ_018,Female,36-45,Middle Eastern,162.1,133.9,66.8,28.4,48.1,34.7,0.79,116.1,Heart,Almond,Hazel,Fair
SUBJ_019,Male,26-35,South Asian,172.2,147.3,63.6,29.1,51.3,36.4,0.37,133.7,Oblong,Upturned,Brown,Olive
SUBJ_020,Male,18-25,Hispanic/Latino,175.2,148.7,63.5,32.2,49.7,35.5,0.66,125.8,Square,Downturned,Brown,Olive
SUBJ_021,Female,61+,Caucasian,200.2,153.6,64.4,31.3,50.4,36.0,0.4,121.1,Square,Hooded,Grey,Fair
SUBJ_022,Male,61+,African,159.2,139.7,66.1,28.0,55.3,34.5,0.47,113.2,Diamond,Almond,Brown,Medium
SUBJ_023,Male,46-60,Caucasian,181.7,146.6,62.5,30.7,47.8,37.4,0.45,131.0,Round,Downturned,Green,Dark
SUBJ_024,Male,26-35,African,192.4,148.1,63.9,30.3,52.1,32.9,0.77,120.2,Square,Hooded,Brown,Dark
SUBJ_025,Male,18-25,Caucasian,176.3,136.0,62.4,33.4,53.8,34.9,0.78,138.0,Oblong,Monolid,Brown,Deep
SUBJ_026,Female,46-60,Middle Eastern,166.0,143.1,63.9,32.8,47.4,38.9,0.39,131.0,Diamond,Almond,Hazel,Fair
SUBJ_027,Male,36-45,Hispanic/Latino,178.7,145.3,59.1,26.9,46.7,32.2,0.31,119.3,Heart,Almond,Green,Fair
SUBJ_028,Female,46-60,African,198.3,132.7,72.6,31.7,49.4,28.5,0.66,120.0,Oblong,Monolid,Brown,Fair
SUBJ_029,Female,46-60,South Asian,172.6,153.1,60.9,32.5,48.2,36.1,0.51,137.1,Diamond,Monolid,Blue,Medium
SUBJ_030,Male,26-35,Caucasian,197.2,139.7,62.2,31.1,54.6,34.2,0.34,124.4,Oblong,Almond,Brown,Olive
SUBJ_031,Female,36-45,Caucasian,183.1,140.7,60.6,29.3,46.0,38.0,0.64,121.4,Square,Monolid,Brown,Fair
SUBJ_032,Male,46-60,African,194.8,132.4,65.7,34.8,50.3,34.6,0.57,125.2,Heart,Round,Blue,Fair
SUBJ_033,Male,18-25,South Asian,182.6,133.8,62.8,31.3,60.2,33.2,0.79,121.4,Diamond,Hooded,Blue,Light
SUBJ_034,Female,18-25,South Asian,174.2,122.4,60.1,34.0,51.7,34.8,0.41,126.7,Oval,Hooded,Green,Medium
SUBJ_035,Non-binary,61+,Middle Eastern,199.7,140.4,65.8,32.7,52.3,38.3,0.5,124.5,Heart,Hooded,Brown,Deep
SUBJ_036,Female,36-45,Middle Eastern,182.7,160.0,66.3,30.9,54.6,36.7,0.57,131.1,Oval,Round,Brown,Fair
SUBJ_037,Male,36-45,Middle Eastern,182.0,131.9,63.3,28.8,48.1,27.7,0.7,122.3,Oblong,Monolid,Brown,Light
SUBJ_038,Male,61+,Middle Eastern,189.7,163.8,61.2,30.0,45.7,35.6,0.57,118.8,Round,Downturned,Brown,Dark
SUBJ_039,Female,46-60,Middle Eastern,191.1,151.3,71.2,29.6,50.7,35.7,0.61,122.6,Heart,Monolid,Brown,Deep
SUBJ_040,Male,36-45,Middle Eastern,189.8,136.2,64.7,27.6,51.1,34.9,0.41,122.5,Oblong,Almond,Blue,Fair
SUBJ_041,Male,18-25,Hispanic/Latino,163.8,140.2,59.0,31.3,43.5,33.2,0.72,124.5,Oval,Upturned,Brown,Fair
SUBJ_042,Female,18-25,South Asian,172.4,138.9,68.4,33.1,51.5,38.6,0.51,129.4,Square,Hooded,Green,Light
SUBJ_043,Male,26-35,Middle Eastern,172.1,153.6,60.5,29.4,54.3,38.7,0.37,129.1,Square,Monolid,Green,Medium
SUBJ_044,Female,36-45,South Asian,170.7,144.1,73.1,34.3,46.3,28.4,0.63,133.4,Round,Downturned,Brown,Fair
SUBJ_045,Male,46-60,South Asian,169.5,149.5,63.8,26.9,51.7,32.6,0.41,119.3,Heart,Almond,Green,Dark
SUBJ_046,Female,61+,East Asian,171.9,142.9,67.0,32.1,53.6,34.6,0.35,127.7,Heart,Round,Blue,Fair
SUBJ_047,Male,61+,Hispanic/Latino,184.0,139.1,56.2,33.3,52.3,37.8,0.73,130.1,Heart,Round,Brown,Dark
SUBJ_048,Female,46-60,Middle Eastern,185.9,142.6,59.0,29.6,52.7,35.1,0.53,120.3,Oblong,Downturned,Brown,Deep
SUBJ_049,Female,26-35,Caucasian,180.0,136.7,68.2,29.6,49.0,32.9,0.67,123.5,Round,Almond,Brown,Deep
SUBJ_050,Male,61+,African,174.9,128.4,64.6,32.1,45.5,37.1,0.45,112.8,Heart,Hooded,Brown,Olive
SUBJ_051,Non-binary,36-45,Caucasian,195.3,146.5,70.6,31.0,48.2,34.4,0.69,131.3,Oblong,Monolid,Hazel,Olive
SUBJ_052,Female,26-35,Hispanic/Latino,178.9,128.0,65.2,26.0,47.7,34.6,0.36,123.5,Square,Almond,Brown,Dark
SUBJ_053,Female,36-45,African,191.2,137.8,64.0,28.3,49.7,34.9,0.48,130.6,Oval,Round,Hazel,Medium
SUBJ_054,Female,18-25,Hispanic/Latino,173.2,136.5,69.5,30.0,54.4,36.7,0.79,126.4,Oblong,Downturned,Blue,Fair
SUBJ_055,Female,26-35,South Asian,185.0,145.1,67.0,27.3,44.8,34.1,0.7,123.7,Square,Downturned,Brown,Fair
SUBJ_056,Female,61+,African,196.1,152.5,62.8,29.1,50.6,37.1,0.55,113.9,Square,Monolid,Grey,Olive
SUBJ_057,Male,26-35,South Asian,148.7,149.6,59.7,27.3,45.7,34.8,0.47,115.1,Oval,Downturned,Brown,Dark
SUBJ_058,Male,26-35,Caucasian,172.1,145.4,55.2,29.3,47.0,31.8,0.74,106.8,Square,Downturned,Brown,Fair
SUBJ_059,Male,26-35,Caucasian,187.1,135.0,62.0,29.3,52.2,34.9,0.57,121.1,Round,Almond,Blue,Fair
SUBJ_060,Male,26-35,African,194.6,138.5,59.3,30.7,45.2,32.0,0.68,140.9,Oval,Hooded,Brown,Medium
SUBJ_061,Male,36-45,African,182.4,137.4,72.6,29.8,52.9,35.1,0.68,116.0,Square,Monolid,Brown,Light
SUBJ_062,Male,18-25,Middle Eastern,180.6,136.2,61.2,31.0,44.6,37.5,0.31,106.6,Diamond,Almond,Brown,Olive
SUBJ_063,Female,46-60,Hispanic/Latino,199.3,136.8,61.1,30.8,52.7,31.8,0.36,131.7,Oblong,Hooded,Brown,Olive
SUBJ_064,Male,26-35,Middle Eastern,195.3,136.6,58.2,32.1,43.8,36.1,0.63,141.5,Square,Almond,Green,Light
SUBJ_065,Male,61+,Hispanic/Latino,169.6,136.2,62.6,31.7,47.5,32.5,0.38,127.1,Round,Upturned,Brown,Fair
SUBJ_066,Female,26-35,Middle Eastern,181.4,147.6,61.2,31.5,57.6,35.6,0.43,127.0,Heart,Almond,Brown,Medium
SUBJ_067,Male,61+,South Asian,184.3,131.6,69.6,36.2,56.8,37.6,0.77,122.8,Square,Downturned,Brown,Medium
SUBJ_068,Female,36-45,African,200.6,134.2,64.1,30.7,48.3,28.6,0.58,112.4,Heart,Hooded,Green,Olive
SUBJ_069,Male,61+,Caucasian,190.4,127.3,63.5,35.2,51.6,31.7,0.68,114.8,Diamond,Monolid,Brown,Medium
SUBJ_070,Non-binary,46-60,Hispanic/Latino,178.8,151.3,63.0,30.8,54.8,33.9,0.58,122.8,Square,Monolid,Brown,Deep
SUBJ_071,Female,18-25,Hispanic/Latino,182.6,133.6,66.3,29.8,52.7,35.9,0.58,121.4,Oval,Hooded,Brown,Light
SUBJ_072,Male,61+,Caucasian,157.4,145.3,61.9,29.3,48.9,34.5,0.35,124.2,Heart,Downturned,Brown,Fair
SUBJ_073,Male,61+,Middle Eastern,191.6,143.8,65.8,33.0,47.0,34.9,0.47,130.8,Diamond,Round,Hazel,Deep
SUBJ_074,Female,18-25,Hispanic/Latino,187.7,150.6,69.1,33.3,53.5,41.1,0.44,120.9,Oval,Almond,Blue,Light
SUBJ_075,Female,46-60,South Asian,194.5,138.3,65.1,31.2,54.5,31.4,0.5,130.9,Oval,Downturned,Brown,Dark
SUBJ_076,Female,26-35,African,178.3,132.4,62.6,32.3,56.9,38.4,0.7,121.0,Oval,Upturned,Blue,Olive
SUBJ_077,Female,61+,Caucasian,181.5,127.6,60.2,27.4,43.3,34.0,0.49,132.3,Oval,Hooded,Brown,Medium
SUBJ_078,Male,18-25,African,174.2,117.7,62.5,26.9,45.0,36.6,0.53,125.6,Square,Almond,Green,Dark
SUBJ_079,Male,36-45,Hispanic/Latino,166.2,141.3,65.5,32.5,54.6,41.4,0.5,121.9,Oblong,Monolid,Green,Medium
SUBJ_080,Male,18-25,Hispanic/Latino,172.8,146.2,58.1,29.7,43.8,37.1,0.35,125.5,Square,Round,Brown,Deep
SUBJ_081,Female,36-45,Caucasian,158.2,143.8,66.4,31.5,55.0,36.1,0.52,122.9,Square,Upturned,Hazel,Fair
SUBJ_082,Female,46-60,South Asian,191.0,127.8,64.2,28.6,49.1,39.8,0.4,125.8,Diamond,Monolid,Blue,Fair
SUBJ_083,Male,26-35,East Asian,153.9,148.3,63.0,33.3,47.9,38.4,0.39,130.3,Diamond,Hooded,Brown,Fair
SUBJ_084,Male,18-25,Caucasian,204.4,134.4,61.2,26.9,50.8,32.6,0.35,124.4,Oblong,Almond,Brown,Medium
SUBJ_085,Male,61+,East Asian,158.8,132.7,61.8,27.2,44.6,35.9,0.48,122.4,Diamond,Hooded,Brown,Dark
SUBJ_086,Male,46-60,Middle Eastern,198.0,134.2,65.6,32.9,53.3,29.8,0.68,117.1,Round,Almond,Blue,Fair
SUBJ_087,Female,18-25,East Asian,169.1,140.6,63.1,24.8,56.8,33.4,0.44,129.1,Oblong,Downturned,Green,Dark
SUBJ_088,Female,61+,South Asian,186.7,128.1,61.7,30.8,53.5,35.9,0.46,127.4,Diamond,Round,Blue,Medium
SUBJ_089,Female,18-25,Middle Eastern,171.0,139.7,65.1,29.8,49.0,33.2,0.62,116.7,Oblong,Downturned,Hazel,Deep
SUBJ_090,Male,36-45,East Asian,200.1,143.4,65.3,28.5,43.8,35.8,0.4,130.8,Square,Downturned,Brown,Dark
SUBJ_091,Male,18-25,Middle Eastern,180.5,148.9,59.1,29.6,44.0,35.0,0.75,116.6,Square,Hooded,Hazel,Deep
SUBJ_092,Female,18-25,East Asian,192.9,141.4,65.5,28.3,44.7,36.6,0.56,132.2,Oblong,Round,Blue,Medium
SUBJ_093,Female,18-25,South Asian,180.9,129.3,72.3,33.1,50.0,33.7,0.52,129.8,Round,Almond,Brown,Medium
SUBJ_094,Female,46-60,East Asian,184.2,141.2,65.1,33.6,50.5,32.2,0.58,127.9,Round,Almond,Brown,Olive
SUBJ_095,Female,18-25,East Asian,187.4,131.5,57.6,28.6,53.5,39.4,0.38,122.4,Oblong,Upturned,Hazel,Medium
SUBJ_096,Female,61+,East Asian,173.7,131.1,64.1,30.6,42.8,33.5,0.61,129.0,Diamond,Monolid,Brown,Medium
SUBJ_097,Female,36-45,Caucasian,164.6,129.1,57.1,27.3,55.2,37.0,0.48,132.5,Heart,Upturned,Hazel,Light
SUBJ_098,Male,36-45,Caucasian,164.4,124.7,74.6,32.1,52.8,39.3,0.75,129.1,Round,Upturned,Brown,Fair
SUBJ_099,Male,18-25,Caucasian,180.6,135.5,71.3,32.1,48.7,35.5,0.38,120.3,Oval,Almond,Brown,Olive
SUBJ_100,Male,46-60,South Asian,174.1,149.0,61.2,29.4,45.2,32.4,0.55,126.9,Square,Hooded,Hazel,Olive
SUBJ_101,Male,46-60,Middle Eastern,154.2,158.1,55.6,30.0,55.0,34.5,0.6,132.9,Oblong,Downturned,Brown,Olive
SUBJ_102,Female,61+,Hispanic/Latino,186.2,135.4,60.4,29.8,48.8,38.1,0.32,140.4,Oval,Downturned,Brown,Light
SUBJ_103,Male,18-25,East Asian,165.4,148.7,62.9,26.8,49.9,35.6,0.48,123.6,Oblong,Downturned,Brown,Deep
SUBJ_104,Female,36-45,East Asian,166.1,136.8,57.3,33.1,51.5,31.4,0.67,131.0,Square,Round,Hazel,Medium
SUBJ_105,Female,46-60,South Asian,179.5,126.8,63.3,28.5,46.3,36.8,0.71,132.9,Square,Almond,Brown,Fair
SUBJ_106,Male,18-25,East Asian,169.2,145.6,62.8,28.5,48.9,37.3,0.46,119.3,Round,Hooded,Green,Dark
SUBJ_107,Male,46-60,Caucasian,181.5,141.9,63.9,29.7,53.5,33.9,0.7,137.5,Round,Round,Brown,Deep
SUBJ_108,Female,46-60,Hispanic/Latino,203.7,154.5,64.3,32.0,53.1,36.8,0.78,117.5,Oval,Monolid,Grey,Medium
SUBJ_109,Male,36-45,African,175.5,127.7,60.1,28.8,53.1,35.7,0.73,130.7,Oblong,Hooded,Green,Light
SUBJ_110,Male,26-35,East Asian,167.3,162.4,60.5,26.1,45.4,34.4,0.36,127.1,Square,Upturned,Brown,Medium
SUBJ_111,Male,61+,Caucasian,182.2,152.7,63.7,28.2,49.1,31.1,0.67,125.4,Oval,Hooded,Brown,Medium
SUBJ_112,Male,61+,African,170.7,139.9,61.3,30.8,48.4,38.2,0.46,142.8,Heart,Hooded,Brown,Light
SUBJ_113,Female,36-45,Hispanic/Latino,180.3,137.6,66.7,34.4,51.7,37.3,0.79,122.9,Oval,Downturned,Brown,Olive
SUBJ_114,Female,46-60,African,183.8,134.3,63.6,27.5,51.3,36.8,0.54,122.8,Diamond,Hooded,Brown,Olive
SUBJ_115,Female,18-25,Caucasian,179.6,140.9,70.0,27.4,50.6,39.6,0.36,134.3,Oval,Upturned,Brown,Fair
SUBJ_116,Female,46-60,Middle Eastern,180.7,138.5,66.4,27.0,59.9,37.8,0.66,130.3,Diamond,Upturned,Brown,Fair
SUBJ_117,Female,36-45,Middle Eastern,182.3,144.1,67.4,26.7,48.8,37.1,0.46,134.0,Diamond,Almond,Brown,Olive
SUBJ_118,Male,61+,African,199.2,137.6,64.0,32.4,48.4,28.4,0.8,125.8,Diamond,Hooded,Brown,Deep
SUBJ_119,Female,46-60,South Asian,177.0,151.3,64.1,33.0,45.4,38.6,0.79,127.2,Heart,Downturned,Brown,Dark
SUBJ_120,Female,61+,African,181.5,141.0,69.6,30.4,43.8,35.2,0.63,138.3,Oval,Hooded,Grey,Medium
SUBJ_121,Female,18-25,East Asian,190.4,137.9,62.2,29.1,45.1,35.9,0.36,119.1,Oval,Monolid,Brown,Dark
SUBJ_122,Female,61+,East Asian,185.7,148.2,65.4,33.6,47.1,36.0,0.64,124.3,Heart,Monolid,Brown,Medium
SUBJ_123,Male,61+,Middle Eastern,175.7,127.0,62.6,30.3,55.2,37.3,0.35,130.6,Square,Downturned,Brown,Olive
SUBJ_124,Male,26-35,South Asian,190.8,142.7,62.6,32.2,50.2,38.4,0.31,123.6,Round,Almond,Hazel,Fair
SUBJ_125,Male,26-35,Caucasian,169.5,140.2,59.4,29.0,50.8,36.9,0.71,121.0,Oval,Almond,Green,Deep
SUBJ_126,Male,26-35,East Asian,177.3,128.7,60.9,30.1,49.6,36.4,0.4,129.3,Round,Upturned,Hazel,Fair
SUBJ_127,Female,61+,Middle Eastern,170.7,126.3,60.3,27.5,51.5,35.7,0.49,134.4,Oblong,Upturned,Grey,Dark
SUBJ_128,Female,36-45,Hispanic/Latino,186.9,148.1,65.6,31.3,55.6,24.9,0.79,124.0,Oblong,Round,Brown,Fair
SUBJ_129,Male,61+,Middle Eastern,194.3,147.7,67.1,30.4,42.0,34.1,0.47,123.8,Heart,Downturned,Hazel,Olive
SUBJ_130,Female,36-45,East Asian,182.7,141.4,63.2,28.2,54.9,32.2,0.45,120.5,Oblong,Hooded,Blue,Deep
SUBJ_131,Male,36-45,East Asian,180.9,153.7,64.3,28.2,39.9,38.6,0.76,122.9,Oblong,Downturned,Brown,Dark
SUBJ_132,Male,26-35,Middle Eastern,169.5,143.5,63.0,33.2,50.1,36.9,0.36,132.6,Square,Round,Green,Deep
SUBJ_133,Male,46-60,Caucasian,171.6,150.0,60.7,33.9,58.8,33.6,0.68,125.6,Square,Upturned,Brown,Medium
SUBJ_134,Male,18-25,African,165.7,143.4,66.5,29.6,52.7,33.9,0.79,119.4,Square,Downturned,Blue,Fair
SUBJ_135,Female,26-35,East Asian,153.9,137.8,65.8,30.1,51.5,33.8,0.75,126.8,Oblong,Downturned,Brown,Deep
SUBJ_136,Male,26-35,Middle Eastern,175.3,131.5,56.9,30.8,58.0,33.8,0.63,132.4,Heart,Upturned,Brown,Light
SUBJ_137,Female,46-60,Middle Eastern,176.4,135.2,62.5,30.3,47.2,30.7,0.46,121.1,Diamond,Round,Blue,Fair
SUBJ_138,Female,18-25,South Asian,206.1,137.9,60.4,26.7,51.7,30.0,0.43,115.7,Diamond,Upturned,Brown,Medium
SUBJ_139,Male,61+,African,198.8,150.9,62.1,30.9,52.3,35.1,0.71,140.3,Round,Almond,Brown,Deep
SUBJ_140,Non-binary,61+,Hispanic/Latino,186.7,146.2,61.2,25.8,47.9,38.2,0.74,115.4,Diamond,Hooded,Brown,Dark
SUBJ_141,Non-binary,26-35,Caucasian,205.0,142.6,63.3,28.5,48.3,33.4,0.56,122.5,Diamond,Upturned,Hazel,Medium
SUBJ_142,Male,18-25,Hispanic/Latino,196.7,147.0,62.3,31.0,47.8,35.9,0.42,126.6,Square,Round,Brown,Light
SUBJ_143,Female,26-35,African,155.9,144.2,62.3,31.2,50.3,37.2,0.36,123.1,Square,Monolid,Brown,Deep
SUBJ_144,Male,36-45,African,192.8,142.1,67.4,28.4,52.2,32.0,0.34,124.5,Oblong,Almond,Green,Olive
SUBJ_145,Male,26-35,African,188.5,128.0,65.5,29.1,50.5,34.9,0.66,129.0,Round,Monolid,Hazel,Fair
SUBJ_146,Male,26-35,Hispanic/Latino,176.5,149.1,61.0,28.8,52.8,33.0,0.51,108.3,Oval,Upturned,Brown,Dark
SUBJ_147,Female,61+,African,163.0,136.3,61.6,29.8,42.1,39.8,0.75,116.1,Round,Almond,Blue,Olive
SUBJ_148,Female,61+,Middle Eastern,187.1,148.7,65.2,29.9,49.1,39.7,0.67,125.3,Round,Hooded,Hazel,Deep
SUBJ_149,Male,61+,Hispanic/Latino,155.1,149.5,65.2,31.3,45.9,32.0,0.4,122.2,Heart,Upturned,Hazel,Deep
SUBJ_150,Male,36-45,African,179.7,134.6,61.4,29.0,51.2,36.2,0.61,125.9,Oblong,Hooded,Brown,Medium
SUBJ_151,Female,61+,Middle Eastern,172.6,147.6,62.7,30.7,51.1,38.2,0.52,126.6,Heart,Downturned,Brown,Deep
SUBJ_152,Male,18-25,South Asian,164.9,137.1,70.0,31.0,49.5,37.5,0.59,110.2,Round,Monolid,Brown,Dark
SUBJ_153,Male,46-60,African,194.3,137.2,61.4,30.4,52.0,35.2,0.67,133.9,Round,Almond,Brown,Olive
SUBJ_154,Female,18-25,Hispanic/Latino,179.5,142.1,70.2,29.5,54.0,38.9,0.7,121.5,Round,Hooded,Brown,Dark
SUBJ_155,Non-binary,18-25,East Asian,182.1,142.3,67.4,30.4,49.8,32.3,0.72,118.9,Diamond,Round,Brown,Light
SUBJ_156,Male,61+,African,190.9,140.3,69.5,31.5,45.8,34.1,0.43,126.5,Heart,Hooded,Brown,Light
SUBJ_157,Female,46-60,East Asian,179.9,129.3,61.3,31.7,43.7,32.4,0.32,125.8,Round,Round,Brown,Fair
SUBJ_158,Female,46-60,Middle Eastern,185.4,139.0,62.9,33.6,50.1,37.3,0.67,133.4,Square,Upturned,Brown,Fair
SUBJ_159,Male,46-60,South Asian,189.8,158.2,61.9,28.0,51.0,33.3,0.35,126.9,Oblong,Almond,Hazel,Light
SUBJ_160,Female,36-45,Caucasian,186.8,117.7,67.4,29.1,46.1,34.5,0.46,133.1,Oblong,Hooded,Brown,Deep
SUBJ_161,Male,61+,South Asian,183.4,147.0,61.5,26.8,52.9,36.9,0.3,118.4,Square,Hooded,Brown,Dark
SUBJ_162,Female,46-60,African,201.4,148.5,66.1,31.9,48.2,37.1,0.64,126.0,Oblong,Almond,Hazel,Light
SUBJ_163,Female,36-45,East Asian,194.9,129.1,65.9,29.3,43.4,32.3,0.38,117.2,Diamond,Hooded,Brown,Fair
SUBJ_164,Female,26-35,East Asian,179.0,136.2,63.3,30.4,55.0,38.2,0.63,125.7,Diamond,Round,Blue,Light
SUBJ_165,Male,26-35,Hispanic/Latino,169.1,132.0,68.0,28.8,54.6,36.4,0.8,124.2,Oval,Hooded,Blue,Deep
SUBJ_166,Female,36-45,East Asian,187.7,154.8,63.9,29.3,41.9,31.8,0.34,123.9,Oval,Monolid,Brown,Light
SUBJ_167,Male,36-45,Hispanic/Latino,182.6,148.8,66.4,32.4,47.7,31.0,0.34,124.0,Oval,Upturned,Hazel,Dark
SUBJ_168,Male,61+,Middle Eastern,200.5,149.2,61.8,31.4,47.6,35.0,0.47,130.2,Oblong,Downturned,Brown,Olive
SUBJ_169,Male,61+,Caucasian,191.8,141.0,61.0,29.8,56.6,37.6,0.73,113.7,Diamond,Round,Brown,Deep
SUBJ_170,Female,26-35,African,189.2,150.5,66.1,31.5,49.6,37.6,0.41,118.7,Diamond,Monolid,Brown,Fair
SUBJ_171,Female,46-60,Hispanic/Latino,180.2,139.9,65.0,31.6,44.0,36.1,0.48,124.7,Diamond,Upturned,Brown,Dark
SUBJ_172,Male,26-35,Caucasian,169.5,150.9,64.4,29.2,53.5,35.1,0.33,116.7,Square,Almond,Green,Light
SUBJ_173,Female,46-60,East Asian,177.6,138.8,62.3,27.1,45.1,36.5,0.68,125.3,Diamond,Round,Brown,Light
SUBJ_174,Male,46-60,East Asian,185.7,134.6,68.9,28.2,49.0,32.4,0.5,124.6,Square,Downturned,Brown,Olive
SUBJ_175,Female,61+,Caucasian,159.2,154.5,59.6,27.3,46.9,40.1,0.68,115.2,Oval,Upturned,Brown,Fair
SUBJ_176,Male,18-25,East Asian,194.9,139.8,59.4,32.3,47.8,40.0,0.75,114.8,Oval,Downturned,Brown,Fair
SUBJ_177,Female,18-25,Middle Eastern,204.8,132.8,66.8,32.7,53.7,36.3,0.42,106.6,Oblong,Almond,Brown,Medium
SUBJ_178,Male,36-45,Middle Eastern,156.7,132.7,66.5,33.2,56.1,35.6,0.7,116.5,Oval,Almond,Brown,Fair
SUBJ_179,Female,61+,Caucasian,163.2,132.7,64.7,26.0,44.9,33.8,0.33,125.1,Oblong,Round,Blue,Olive
SUBJ_180,Male,46-60,Hispanic/Latino,182.8,146.8,62.5,32.1,52.5,36.6,0.75,126.1,Round,Hooded,Brown,Medium
SUBJ_181,Male,18-25,Hispanic/Latino,173.0,139.2,65.3,34.4,47.1,32.9,0.63,126.4,Round,Almond,Brown,Medium
SUBJ_182,Male,46-60,Caucasian,183.1,158.4,69.5,32.2,47.2,28.3,0.74,119.6,Heart,Upturned,Brown,Light
SUBJ_183,Female,18-25,Hispanic/Latino,179.1,149.5,72.3,25.7,52.0,26.9,0.3,124.9,Oblong,Hooded,Brown,Light
SUBJ_184,Female,18-25,Hispanic/Latino,167.7,142.1,57.7,33.5,45.9,32.6,0.38,127.8,Heart,Monolid,Hazel,Fair
SUBJ_185,Male,18-25,Middle Eastern,195.5,151.2,62.0,30.1,51.9,35.5,0.49,116.1,Heart,Downturned,Brown,Medium
SUBJ_186,Female,61+,Hispanic/Latino,185.6,136.0,61.8,29.5,52.9,36.0,0.49,125.9,Round,Hooded,Brown,Light
SUBJ_187,Female,26-35,South Asian,173.3,125.2,69.2,30.9,48.3,33.5,0.41,129.6,Oblong,Downturned,Brown,Olive
SUBJ_188,Female,46-60,African,198.1,132.1,54.8,27.9,55.3,35.4,0.49,121.6,Round,Hooded,Blue,Light
SUBJ_189,Female,61+,East Asian,173.9,141.2,65.3,30.0,44.9,34.2,0.36,132.4,Heart,Monolid,Brown,Deep
SUBJ_190,Male,61+,South Asian,165.1,138.2,62.6,33.2,55.4,32.0,0.51,121.7,Oblong,Almond,Brown,Deep
SUBJ_191,Male,61+,Hispanic/Latino,182.2,146.6,69.2,31.2,42.2,34.8,0.7,119.0,Heart,Monolid,Blue,Light
SUBJ_192,Female,61+,Middle Eastern,184.2,139.0,68.8,30.1,60.8,37.4,0.54,128.9,Diamond,Almond,Brown,Medium
SUBJ_193,Female,61+,Caucasian,186.4,146.0,64.8,30.2,48.4,32.1,0.31,139.2,Oblong,Almond,Hazel,Medium
SUBJ_194,Female,36-45,Hispanic/Latino,188.4,152.0,58.0,27.6,45.4,32.1,0.51,125.6,Oblong,Downturned,Hazel,Dark
SUBJ_195,Male,46-60,Middle Eastern,186.2,139.0,61.5,29.7,49.1,31.8,0.31,129.4,Heart,Upturned,Brown,Deep
SUBJ_196,Male,61+,African,185.7,144.4,61.9,26.7,45.8,29.2,0.78,121.4,Diamond,Monolid,Brown,Olive
SUBJ_197,Female,46-60,Hispanic/Latino,173.1,126.0,58.9,32.0,51.5,33.6,0.36,116.3,Square,Hooded,Brown,Medium
